"Flow ID","numberofpackets_real","numberofpackets_d3_W256","numberofpackets_d5_W256","numberofpackets_d7_W256","numberofpackets_d9_W256","bitrate_Gbps_real","bitrate_Gbps_d3_W256","bitrate_Gbps_d5_W256","bitrate_Gbps_d7_W256","bitrate_Gbps_d9_W256","error_d3_W256","error_d5_W256","error_d7_W256","error_d9_W256"
0,3562,3643,3643,3643,3643,0.248106190626407,0.253748133759686,0.253748133759686,0.253748133759686,0.253748133759686,2.27400336889388,2.27400336889388,2.27400336889388,2.27400336889388
1,3432,3608,3608,3568,3549,0.239051220165589,0.251310257097158,0.251310257097158,0.248524112339983,0.247200693580325,5.12820512820513,5.12820512820513,3.96270396270396,3.40909090909091
2,3629,3730,3730,3730,3694,0.252772983094675,0.259807998606541,0.259807998606541,0.259807998606541,0.257300468325084,2.78313585009645,2.78313585009645,2.78313585009645,1.79112703224029
3,3645,3770,3770,3770,3770,0.253887440997545,0.262594143363716,0.262594143363716,0.262594143363716,0.262594143363716,3.42935528120713,3.42935528120713,3.42935528120713,3.42935528120713
4,3700,3802,3802,3802,3802,0.25771839003866,0.264823059169455,0.264823059169455,0.264823059169455,0.264823059169455,2.75675675675676,2.75675675675676,2.75675675675676,2.75675675675676
5,3536,3695,3695,3695,3636,0.246295196534244,0.257370121944013,0.257370121944013,0.257370121944013,0.25326055842718,4.49660633484163,4.49660633484163,4.49660633484163,2.82805429864253
6,3389,3569,3527,3527,3527,0.236056114551627,0.248593765958913,0.245668313963879,0.245668313963879,0.245668313963879,5.31130126881086,4.07199763942166,4.07199763942166,4.07199763942166
7,3676,3799,3799,3799,3799,0.256046703184355,0.264614098312667,0.264614098312667,0.264614098312667,0.264614098312667,3.34602829162133,3.34602829162133,3.34602829162133,3.34602829162133
8,3425,3515,3515,3515,3515,0.238563644833084,0.244832470536727,0.244832470536727,0.244832470536727,0.244832470536727,2.62773722627737,2.62773722627737,2.62773722627737,2.62773722627737
9,3502,3713,3713,3665,3632,0.243926973490645,0.258623887084742,0.258623887084742,0.255280513376132,0.252981943951463,6.02512849800114,6.02512849800114,4.65448315248429,3.71216447744146
10,3538,3708,3708,3708,3708,0.246434503772102,0.258275618990095,0.258275618990095,0.258275618990095,0.258275618990095,4.80497456189938,4.80497456189938,4.80497456189938,4.80497456189938
11,3596,3668,3668,3668,3668,0.250474413670006,0.25548947423292,0.25548947423292,0.25548947423292,0.25548947423292,2.00222469410456,2.00222469410456,2.00222469410456,2.00222469410456
12,3697,3977,3961,3875,3875,0.257509429181872,0.277012442482095,0.275897984579225,0.269907773351299,0.269907773351299,7.57370841222613,7.14092507438464,4.81471463348661,4.81471463348661
13,3473,3685,3685,3656,3654,0.241907018541694,0.256673585754719,0.256673585754719,0.254653630805768,0.254514323567909,6.10423265188598,6.10423265188598,5.26921969478837,5.21163259429888
14,3549,3620,3620,3620,3620,0.247200693580325,0.252146100524311,0.252146100524311,0.252146100524311,0.252146100524311,2.00056353902508,2.00056353902508,2.00056353902508,2.00056353902508
15,3580,3748,3748,3748,3748,0.249359955767136,0.26106176374727,0.26106176374727,0.26106176374727,0.26106176374727,4.6927374301676,4.6927374301676,4.6927374301676,4.6927374301676
16,3666,3798,3798,3798,3765,0.255350166995061,0.264544444693738,0.264544444693738,0.264544444693738,0.262245875269069,3.60065466448445,3.60065466448445,3.60065466448445,2.70049099836334
17,3450,3692,3473,3473,3473,0.240304985306318,0.257161161087225,0.241907018541694,0.241907018541694,0.241907018541694,7.01449275362319,0.666666666666667,0.666666666666667,0.666666666666667
18,3662,3732,3732,3732,3732,0.255071552519344,0.2599473058444,0.2599473058444,0.2599473058444,0.2599473058444,1.91152375750956,1.91152375750956,1.91152375750956,1.91152375750956
19,3751,4000,4000,3901,3901,0.261270724604058,0.27861447571747,0.27861447571747,0.271718767443463,0.271718767443463,6.63822980538523,6.63822980538523,3.99893361770195,3.99893361770195
-1,71572,487524,421132,385107,362607,4.98524881401269,33.957810914921,29.3333678469624,26.824096225032,25.2568897991212,596.117536172681,501.008828186977,449.476901152002,417.338310813117
