"Flow ID","numberofpackets_real","numberofpackets_d3_W1024","numberofpackets_d5_W1024","numberofpackets_d7_W1024","numberofpackets_d9_W1024","bitrate_Gbps_real","bitrate_Gbps_d3_W1024","bitrate_Gbps_d5_W1024","bitrate_Gbps_d7_W1024","bitrate_Gbps_d9_W1024","error_d3_W1024","error_d5_W1024","error_d7_W1024","error_d9_W1024"
0,3562,3589,3562,3562,3562,0.248106190626407,0.2499868383375,0.248106190626407,0.248106190626407,0.248106190626407,0.758001122964627,0,0,0
1,3432,3460,3432,3432,3432,0.239051220165589,0.241001521495612,0.239051220165589,0.239051220165589,0.239051220165589,0.815850815850816,0,0,0
2,3629,3692,3664,3664,3659,0.252772983094675,0.257161161087225,0.255210859757203,0.255210859757203,0.254862591662556,1.73601543124828,0.964453017360154,0.964453017360154,0.826674014880132
3,3645,3675,3645,3645,3645,0.253887440997545,0.255977049565426,0.253887440997545,0.253887440997545,0.253887440997545,0.823045267489712,0,0,0
4,3700,3740,3700,3700,3700,0.25771839003866,0.260504534795835,0.25771839003866,0.25771839003866,0.25771839003866,1.08108108108108,0,0,0
5,3536,3566,3566,3566,3536,0.246295196534244,0.248384805102125,0.248384805102125,0.248384805102125,0.246295196534244,0.84841628959276,0.84841628959276,0.84841628959276,0
6,3389,3389,3389,3389,3389,0.236056114551627,0.236056114551627,0.236056114551627,0.236056114551627,0.236056114551627,0,0,0,0
7,3676,3676,3676,3676,3676,0.256046703184355,0.256046703184355,0.256046703184355,0.256046703184355,0.256046703184355,0,0,0,0
8,3425,3459,3425,3425,3425,0.238563644833084,0.240931867876682,0.238563644833084,0.238563644833084,0.238563644833084,0.992700729927007,0,0,0
9,3502,3502,3502,3502,3502,0.243926973490645,0.243926973490645,0.243926973490645,0.243926973490645,0.243926973490645,0,0,0,0
10,3538,3566,3566,3566,3566,0.246434503772102,0.248384805102125,0.248384805102125,0.248384805102125,0.248384805102125,0.791407574901074,0.791407574901074,0.791407574901074,0.791407574901074
11,3596,3596,3596,3596,3596,0.250474413670006,0.250474413670006,0.250474413670006,0.250474413670006,0.250474413670006,0,0,0,0
12,3697,3755,3738,3738,3738,0.257509429181872,0.261549339079775,0.260365227557976,0.260365227557976,0.260365227557976,1.56883959967541,1.10900730321883,1.10900730321883,1.10900730321883
13,3473,3511,3500,3500,3500,0.241907018541694,0.244553856061009,0.243787666252786,0.243787666252786,0.243787666252786,1.09415490930032,0.77742585660812,0.77742585660812,0.77742585660812
14,3549,3549,3549,3549,3549,0.247200693580325,0.247200693580325,0.247200693580325,0.247200693580325,0.247200693580325,0,0,0,0
15,3580,3612,3612,3611,3611,0.249359955767136,0.251588871572876,0.251588871572876,0.251519217953946,0.251519217953946,0.893854748603352,0.893854748603352,0.865921787709497,0.865921787709497
16,3666,3666,3666,3666,3666,0.255350166995061,0.255350166995061,0.255350166995061,0.255350166995061,0.255350166995061,0,0,0,0
17,3450,3479,3450,3450,3450,0.240304985306318,0.24232494025527,0.240304985306318,0.240304985306318,0.240304985306318,0.840579710144928,0,0,0
18,3662,3662,3662,3662,3662,0.255071552519344,0.255071552519344,0.255071552519344,0.255071552519344,0.255071552519344,0,0,0,0
19,3751,3824,3782,3782,3782,0.261270724604058,0.266355438785902,0.263429986790868,0.263429986790868,0.263429986790868,1.94614769394828,0.826446280991736,0.826446280991736,0.826446280991736
-1,71572,133296,108577,95874,87807,4.98524881401269,9.28454878880898,7.56278098249394,6.67797106123419,6.11607531733098,88.6549779257071,53.3722407128511,35.1516150557842,23.4937519193594
