"Flow ID","numberofpackets_real","numberofpackets_d3_W55","numberofpackets_d5_W55","numberofpackets_d7_W55","numberofpackets_d9_W55","bitrate_Gbps_real","bitrate_Gbps_d3_W55","bitrate_Gbps_d5_W55","bitrate_Gbps_d7_W55","bitrate_Gbps_d9_W55","error_d3_W55","error_d5_W55","error_d7_W55","error_d9_W55"
0,3562,4548,4548,4548,4548,0.248106190626407,0.316784658890764,0.316784658890764,0.316784658890764,0.316784658890764,27.6810780460416,27.6810780460416,27.6810780460416,27.6810780460416
1,3432,4864,4253,4253,4253,0.239051220165589,0.338795202472444,0.2962368413066,0.2962368413066,0.2962368413066,41.7249417249417,23.9219114219114,23.9219114219114,23.9219114219114
2,3629,4960,4937,4937,4874,0.252772983094675,0.345481949889663,0.343879916654288,0.343879916654288,0.339491738661737,36.6767704601819,36.0429870487738,36.0429870487738,34.3069716175255
3,3645,4764,4709,4709,4605,0.253887440997545,0.331829840579507,0.327998891538392,0.327998891538392,0.320754915169738,30.6995884773663,29.1906721536351,29.1906721536351,26.3374485596708
4,3700,4786,4736,4736,4736,0.25771839003866,0.333362220195953,0.329879539249485,0.329879539249485,0.329879539249485,29.3513513513514,28,28,28
5,3536,4639,4372,4372,4372,0.246295196534244,0.323123138213336,0.304525621959195,0.304525621959195,0.304525621959195,31.1934389140271,23.6425339366516,23.6425339366516,23.6425339366516
6,3389,4642,4642,4642,4642,0.236056114551627,0.323332099070124,0.323332099070124,0.323332099070124,0.323332099070124,36.9725582767778,36.9725582767778,36.9725582767778,36.9725582767778
7,3676,4589,4589,4589,4589,0.256046703184355,0.319640457266868,0.319640457266868,0.319640457266868,0.319640457266868,24.8367791077258,24.8367791077258,24.8367791077258,24.8367791077258
8,3425,4413,4413,4413,4413,0.238563644833084,0.307381420335299,0.307381420335299,0.307381420335299,0.307381420335299,28.8467153284672,28.8467153284672,28.8467153284672,28.8467153284672
9,3502,4724,4645,4645,4645,0.243926973490645,0.329043695822332,0.323541059926912,0.323541059926912,0.323541059926912,34.8943460879497,32.6384922901199,32.6384922901199,32.6384922901199
10,3538,4767,4767,4767,4700,0.246434503772102,0.332038801436295,0.332038801436295,0.332038801436295,0.327372008968028,34.7371396269079,34.7371396269079,34.7371396269079,32.8434143583946
11,3596,5223,4824,4576,4576,0.250474413670006,0.363800851668087,0.336009057715269,0.318734960220786,0.318734960220786,45.2447163515017,34.1490545050056,27.2525027808676,27.2525027808676
12,3697,4942,4942,4942,4942,0.257509429181872,0.344228184748934,0.344228184748934,0.344228184748934,0.344228184748934,33.6759534757912,33.6759534757912,33.6759534757912,33.6759534757912
13,3473,4721,4691,4284,4284,0.241907018541694,0.328834734965544,0.326745126397663,0.298396103493411,0.298396103493411,35.934350705442,35.0705441980996,23.3515692484883,23.3515692484883
14,3549,4309,4309,4309,4309,0.247200693580325,0.300137443966645,0.300137443966645,0.300137443966645,0.300137443966645,21.4144829529445,21.4144829529445,21.4144829529445,21.4144829529445
15,3580,4565,4565,4565,4565,0.249359955767136,0.317968770412563,0.317968770412563,0.317968770412563,0.317968770412563,27.5139664804469,27.5139664804469,27.5139664804469,27.5139664804469
16,3666,5122,4708,4708,4708,0.255350166995061,0.356765836156221,0.327929237919462,0.327929237919462,0.327929237919462,39.7163120567376,28.4233496999454,28.4233496999454,28.4233496999454
17,3450,4801,4600,4600,4600,0.240304985306318,0.334407024479894,0.320406647075091,0.320406647075091,0.320406647075091,39.1594202898551,33.3333333333333,33.3333333333333,33.3333333333333
18,3662,5019,4404,4404,4404,0.255071552519344,0.349591513406496,0.306754537764935,0.306754537764935,0.306754537764935,37.0562534134353,20.2621518296013,20.2621518296013,20.2621518296013
19,3751,4554,4554,4554,4554,0.261270724604058,0.31720258060434,0.31720258060434,0.31720258060434,0.31720258060434,21.4076246334311,21.4076246334311,21.4076246334311,21.4076246334311
-1,71572,2624911,2312662,2183532,2128529,4.98524881401269,182.834550517505,161.085277660429,152.09090584808,148.259747846108,3657.5013540231,3212.95751668258,3029.19027005746,2950.19953021476
